scan_coordinate_px,carrier_amplitude,unwrapped_phase_rad,fitted_phase_rad,fit_used
107,1022.9201866473038,-5.324223766785674,-6.3714244412189203,1
108,1073.2186758044304,-5.3120143546846741,-6.3825197298456828,1
109,1117.5917373388445,-5.3185421548812819,-6.3936150184724454,1
110,1140.5336894242012,-5.3158272309734684,-6.404710307099208,1
111,1179.2085456753821,-5.3268881803364962,-6.4158055957259705,1
112,1166.2035641473267,-5.3250133107851427,-6.4269008843527322,1
113,1207.3917208228499,-5.3238740399126341,-6.4379961729794948,1
114,1211.6368888454044,-5.3199774733538607,-6.4490914616062565,1
115,1216.3979877533152,-5.3243743185385037,-6.460186750233019,1
116,1217.3232915643232,-5.3313146219402752,-6.4712820388597816,1
117,1230.5302312130405,-5.3213759393178179,-6.4823773274865442,1
118,1225.5048628083862,-5.324304272214091,-6.4934726161133067,1
119,1240.3921000518749,-5.3163123680947644,-6.5045679047400684,1
120,1231.8868991501449,-5.3133649031260806,-6.515663193366831,1
121,1241.1286024216142,-5.3110686060698402,-6.5267584819935935,1
122,1237.2247209313332,-5.3080581955220714,-6.5378537706203552,1
123,1231.2697411861686,-5.315327052858084,-6.5489490592471178,1
124,1237.9525590188896,-5.3102993362266844,-6.5600443478738804,1
125,1230.5700141591165,-5.3117818957420226,-6.5711396365006429,1
126,1244.8358257046477,-5.2962912715369415,-6.5822349251274046,1
127,1233.821365540435,-5.3137895238068493,-6.5933302137541672,1
128,1231.0523692950576,-5.3027249064413153,-6.6044255023809297,1
129,1228.0060932467482,-5.2957751362238348,-6.6155207910076914,1
130,1215.6265364412825,-5.296565916546812,-6.626616079634454,1
131,1216.3833837129325,-5.2959086892523946,-6.6377113682612165,1
132,1222.5799942927206,-5.2884715416761123,-6.6488066568879791,1
133,1215.5816672210422,-5.2944981070352082,-6.6599019455147408,1
134,1225.9650088980388,-5.291474341364216,-6.6709972341415034,1
135,1227.0065931803545,-5.2895859990119121,-6.6820925227682659,1
136,1217.1946369057639,-5.2947193124832248,-6.6931878113950276,1
137,1216.8018330431562,-5.2918839101793766,-6.7042831000217902,1
138,1217.2829134393512,-5.2894986693567398,-6.7153783886485527,1
139,1221.760742943977,-5.2919473743384877,-6.7264736772753153,1
140,1214.225740278373,-5.291887145684445,-6.7375689659020779,1
141,1213.4828035797391,-5.2861812890904218,-6.7486642545288396,1
142,1223.3686431150957,-5.2982596551964276,-6.7597595431556021,1
143,1228.0369151883474,-5.2911405710269133,-6.7708548317823638,1
144,1212.6384990616602,-5.2915727039365832,-6.7819501204091264,1
145,1221.6974784233744,-5.3013350916617714,-6.7930454090358889,1
146,1222.9870462793815,-5.3099056358465937,-6.8041406976626515,1
147,1229.8622817671462,-5.3118133177779034,-6.8152359862894141,1
148,1222.4808800813587,-5.3206623573254559,-6.8263312749161758,1
149,1231.9916171173832,-5.3018739544309037,-6.8374265635429383,1
150,1232.9849456173831,-5.296290536448633,-6.8485218521697009,1
151,1233.5849588801784,-5.3197988506562019,-6.8596171407964626,1
152,1228.4378016710482,-5.3080504456684032,-6.8707124294232251,1
153,1232.2799515450606,-5.3082798712067509,-6.8818077180499877,1
154,1225.8225248722185,-5.3136914857453146,-6.8929030066767503,1
155,1227.0203228924759,-5.3210124246959438,-6.9039982953035119,1
156,1224.2966304535721,-5.3048877627740341,-6.9150935839302745,1
157,1226.3578131825893,-5.3124745797045172,-6.9261888725570371,1
158,1213.5883516301901,-5.3106883261703501,-6.9372841611837988,1
159,1223.6921901866128,-5.3122372325574698,-6.9483794498105613,1
