scan_coordinate_px,carrier_amplitude,unwrapped_phase_rad,fitted_phase_rad,fit_used
0,763.59480895849447,0.67508916004789454,0.65525139173330516,0
1,752.80209475468894,0.65519576139585722,0.65520161009425992,0
2,744.99171607532469,0.6472167225653892,0.65515182845521469,0
3,729.19845845661189,0.64327584238789182,0.65510204681616946,0
4,712.56784329285051,0.62026413223045185,0.65505226517712423,0
5,696.12843149478158,0.63016013143540983,0.65500248353807899,0
6,666.54095402149437,0.60984743430196631,0.65495270189903365,0
7,661.43410483362572,0.60926361176591703,0.65490292025998842,0
8,644.91353999888258,0.60401650704519616,0.65485313862094319,0
9,635.88974873910433,0.59869560146693579,0.65480335698189795,0
10,635.21973092992414,0.59485669905318395,0.65475357534285272,0
11,634.05484961391551,0.59870747096296206,0.65470379370380749,0
12,633.39038050106194,0.59825752883928418,0.65465401206476226,0
13,633.39320728222083,0.59241122158164417,0.65460423042571703,0
14,632.189016523394,0.59988074384115619,0.65455444878667179,0
15,630.4981874017584,0.57992214892752192,0.65450466714762656,0
16,642.54644488599615,0.5963826950889437,0.65445488550858133,0
17,642.2681553516768,0.58314781837295526,0.65440510386953599,0
18,643.80453843944531,0.55588654647144731,0.65435532223049075,0
19,655.46450414494814,0.58170181293846968,0.65430554059144552,0
20,650.97659644309681,0.5731172170110973,0.65425575895240029,0
21,658.38244033102444,0.57497907013187777,0.65420597731335506,0
22,656.69272629692762,0.56634696880520341,0.65415619567430983,0
23,644.76462300002083,0.56464549999853331,0.65410641403526459,0
24,661.19479466076314,0.56826096845390728,0.65405663239621936,0
25,655.77546792163992,0.56967076936329308,0.65400685075717413,0
26,656.32236249354958,0.56903117697872951,0.6539570691181289,0
27,652.91446130118618,0.56340819352050775,0.65390728747908367,0
28,656.58556045793023,0.54411126215877448,0.65385750584003832,0
29,658.66777397828935,0.54735351061057025,0.65380772420099309,0
30,653.85510976111891,0.55402293656656221,0.65375794256194786,0
31,655.01167234045113,0.55794240062591227,0.65370816092290263,0
32,649.4757085508619,0.5511736538713965,0.65365837928385739,0
33,663.39005191133742,0.54738535266988897,0.65360859764481216,0
34,664.03208190413704,0.54695955567109977,0.65355881600576693,0
35,662.42499743803978,0.55195741627549855,0.6535090343667217,0
36,657.9688357437509,0.55752588356501209,0.65345925272767647,0
37,660.86850940846523,0.55795106180249832,0.65340947108863123,0
38,644.43384250887107,0.55048428143730865,0.653359689449586,0
39,659.17136629848846,0.55975954597146005,0.65330990781054066,0
40,654.50943178780221,0.56373169023185676,0.65326012617149543,0
41,654.2014665996553,0.54787939176232126,0.65321034453245019,0
42,655.00659575832981,0.55552475833964199,0.65316056289340496,0
43,657.97565524241247,0.57364191872560044,0.65311078125435973,0
44,653.73908485827189,0.56112709907349578,0.6530609996153145,0
45,657.73293596777648,0.5545199674728537,0.65301121797626926,0
46,651.02790445503467,0.56659980485412231,0.65296143633722403,0
47,651.10200404424211,0.58346688358561449,0.6529116546981788,0
48,650.95190123482178,0.57917900482984275,0.65286187305913357,0
49,658.91903245722676,0.57107245462108991,0.65281209142008834,0
50,660.20932371409526,0.58212730805968083,0.65276230978104299,0
51,643.77074364355985,0.58419767599769068,0.65271252814199776,0
52,649.54463945138411,0.58781199167835474,0.65266274650295253,0
53,647.37676209340259,0.5778290898421149,0.6526129648639073,0
54,649.52067895663743,0.58278152579705633,0.65256318322486206,0
55,642.29243888069038,0.58793211019546299,0.65251340158581683,0
56,632.37609946820305,0.57236578990344933,0.6524636199467716,0
57,623.63780081915979,0.57335886187650842,0.65241383830772637,0
58,615.07255565624985,0.57463515232359097,0.65236405666868114,0
59,610.00414842969235,0.55667386436104971,0.6523142750296359,0
60,604.16487646698545,0.55972255503726109,0.65226449339059056,0
61,592.31597755077939,0.56432746500513509,0.65221471175154533,0
62,586.66212229217149,0.55347385364571977,0.6521649301125001,0
63,565.55872142327644,0.56219446001103257,0.65211514847345486,0
64,536.26412182251386,0.55516942125535484,0.65206536683440963,0
65,533.26619268037996,0.54769909248415027,0.6520155851953644,0
66,515.46887871747629,0.52025250096345743,0.65196580355631917,0
67,522.07543214314683,0.54586765136900017,0.65191602191727394,0
68,522.11411212691257,0.54940268499416833,0.6518662402782287,0
69,532.65775909805711,0.55583645631619172,0.65181645863918347,0
70,533.76744506577938,0.57483260937988767,0.65176667700013824,0
71,559.28097340547629,0.58862375050067617,0.6517168953610929,0
72,551.10340370474501,0.60614520970152241,0.65166711372204766,0
73,566.48561438898071,0.63056993438884168,0.65161733208300243,0
74,574.24619394158572,0.62254683068420269,0.6515675504439572,0
75,575.86271914154656,0.62023116434486525,0.65151776880491197,0
76,577.84435243690723,0.63440473668299546,0.65146798716586674,0
77,581.5793907260155,0.63268091402078974,0.6514182055268215,0
78,592.194490290261,0.64480673145311307,0.65136842388777627,0
79,612.88239767116374,0.6261781317754358,0.65131864224873104,0
80,621.22787824332829,0.6272175983942937,0.65126886060968581,0
81,629.95370631966,0.645839966055059,0.65121907897064057,0
82,622.58113144242782,0.65345612850121648,0.65116929733159523,0
83,633.8333743131185,0.63885534647025366,0.65111951569255,0
84,641.55513962277837,0.63562962219412611,0.65106973405350477,1
85,645.04663379664828,0.64869808611265589,0.65101995241445954,1
86,638.14722405763393,0.62587784094285615,0.6509701707754143,1
87,646.61979073680573,0.63066148296083147,0.65092038913636907,1
88,651.95876872970007,0.65037971165692721,0.65087060749732384,1
89,652.17979917875232,0.6238065915666583,0.65082082585827861,1
90,655.29334884537059,0.63237988582170213,0.65077104421923337,1
91,653.87680548268031,0.62690800192461948,0.65072126258018814,1
92,648.1237714498028,0.63376872979607424,0.65067148094114291,1
93,653.89963232293974,0.62083625956975441,0.65062169930209757,1
94,645.24896050290454,0.62871181921577446,0.65057191766305233,1
95,662.95046496250984,0.62197048976564207,0.6505221360240071,1
96,663.12762524604307,0.6387723674172533,0.65047235438496187,1
97,659.45947876013736,0.62308223137010765,0.65042257274591664,1
98,646.67509507023442,0.6231442951773225,0.65037279110687141,1
99,656.47178854858396,0.62961253993684185,0.65032300946782617,1
100,655.77996075976262,0.61241825640366032,0.65027322782878094,1
101,647.18037876192011,0.6327702824117013,0.65022344618973571,1
102,658.6749025851642,0.62143267892112097,0.65017366455069048,1
103,656.75015126689254,0.6178934328930602,0.65012388291164525,1
104,652.29313209096347,0.60645582895084815,0.6500741012725999,1
105,661.51517796280154,0.62023070472656983,0.65002431963355467,1
106,654.68073730243725,0.63096834643750133,0.64997453799450944,1
107,660.14891604775914,0.62073248519090773,0.64992475635546421,1
108,656.10861042123884,0.63288797161817512,0.64987497471641897,1
109,658.67223473107788,0.61901305260885797,0.64982519307737374,1
110,656.23241014190592,0.60792280098138141,0.64977541143832851,1
111,659.76007662378606,0.61024123477201442,0.64972562979928328,1
112,656.23457387830797,0.62193454237020396,0.64967584816023805,1
113,658.49667705022307,0.63026193655137175,0.64962606652119281,1
114,656.29331911765928,0.61079712098677086,0.64957628488214758,1
115,657.08920853032168,0.62879010179520489,0.64952650324310224,1
116,656.93204475021707,0.63140077858282229,0.64947672160405701,1
117,665.98379228533781,0.63179173118947385,0.64942693996501177,1
118,663.46473280239218,0.63165236617169385,0.64937715832596654,1
119,662.89040623773883,0.6326763390362814,0.64932737668692131,1
120,660.03507193886583,0.62929291369894591,0.64927759504787608,1
121,656.56646602963065,0.63431241969788588,0.64922781340883084,1
122,649.84582721869344,0.63550209773837985,0.64917803176978561,1
123,649.58076583614616,0.64038675618572716,0.64912825013074038,1
124,647.8772767548603,0.63881869056016172,0.64907846849169515,1
125,644.15618372676636,0.65006233383000822,0.64902868685264992,1
126,638.85126227300498,0.64098964010387283,0.64897890521360457,1
127,637.15694745726091,0.63281033745480786,0.64892912357455934,1
128,650.10076481907151,0.63116601454387133,0.64887934193551411,1
129,661.5056669551202,0.64139121019192413,0.64882956029646888,1
130,666.47894900004599,0.63979031682246523,0.64877977865742364,1
131,695.06430244047453,0.6242041109643276,0.64872999701837841,1
132,720.89492197956304,0.61341298532208155,0.64868021537933318,1
133,731.62311919622869,0.59999487736146073,0.64863043374028795,1
134,744.15065725185048,0.61032866493136018,0.64858065210124272,1
135,761.73458762836674,0.60784183376813361,0.64853087046219748,1
136,775.13977563179378,0.59485208671120415,0.64848108882315225,1
137,779.37945069763657,0.60248151735025246,0.64843130718410691,1
138,777.55197184746532,0.59296457417366544,0.64838152554506168,1
139,778.2707005658915,0.60084250799690553,0.64833174390601644,1
140,769.76344123051422,0.58758441282810514,0.64828196226697121,1
141,751.25677197612924,0.6008414560553218,0.64823218062792598,1
