scan_coordinate_px,carrier_amplitude,unwrapped_phase_rad,fitted_phase_rad,fit_used
50,323.54584547820087,-0.78045317751438215,-6.2505609945383513,0
51,160.15142696242049,-0.75500731471413718,-6.2780126179215534,0
52,107.36260716981644,-0.80400970346309641,-6.3054642413047564,0
53,111.34215108856606,-0.81785408138719762,-6.3329158646879584,0
54,112.47538959491364,-0.83459260051485196,-6.3603674880711605,0
55,98.915195293321304,-0.79774586491489818,-6.3878191114543625,0
56,30.163754814641187,-0.77928209818406957,-6.4152707348375646,0
57,166.90224348778628,-3.9107327373343255,-6.4427223582207667,0
58,436.31431896773074,-3.9231223362967396,-6.4701739816039687,0
59,599.27426901414981,-3.907494118443966,-6.4976256049871708,0
60,626.42988013091315,-3.9139787920707012,-6.5250772283703737,0
61,613.74762483881432,-3.9023506050646128,-6.5525288517535758,0
62,625.83843965459971,-3.888666762842619,-6.5799804751367779,0
63,572.00977175542471,-3.8759282370374186,-6.6074320985199799,0
64,389.24441346634825,-3.9133008503531084,-6.634883721903182,0
65,101.19970210084482,-3.9251070123731537,-6.6623353452863849,0
66,51.276045017685711,-0.91149712322040433,-6.689786968669587,0
67,105.68070848705955,-0.69596958215383831,-6.7172385920527891,0
68,114.64493401224877,-0.73109142832831531,-6.7446902154359911,0
69,107.49536527890861,-0.78174483698098152,-6.7721418388191932,0
70,118.15783690548065,-0.70287298684040722,-6.7995934622023952,0
71,182.79270306989054,-0.76236073283631545,-6.8270450855855973,0
72,356.88811403138891,-0.78672168107968032,-6.8544967089687994,0
73,617.64941851413596,-0.78462702782288518,-6.8819483323520014,0
74,748.05859866233948,-0.80556057526308289,-6.9093999557352035,0
75,762.02530301327113,-0.7853041170282935,-6.9368515791184064,0
76,752.78833615735459,-0.78169484692113511,-6.9643032025016085,0
77,762.45952971270003,-0.78696410274160133,-6.9917548258848106,0
78,738.60190778966819,-0.77679389981615699,-7.0192064492680135,0
79,614.38253547494742,-0.7810558792858241,-7.0466580726512156,0
80,367.06650209192424,-0.76186330125797674,-7.0741096960344176,1
81,173.54669247070015,-0.713501274898938,-7.1015613194176197,1
82,118.48550020782808,-0.7836291926550768,-7.1290129428008218,1
83,99.738795051235769,-0.74642281697906088,-7.1564645661840238,0
84,104.03229873023355,-0.80357019663363805,-7.1839161895672259,1
85,102.45608737914191,-0.74882804842847317,-7.2113678129504279,1
86,34.367734749436217,-0.69577066950922906,-7.23881943633363,0
87,130.80364998499471,-3.7474277675305978,-7.2662710597168321,1
88,384.61768421097457,-3.8150835553809523,-7.2937226831000341,1
89,570.25270815660201,-3.8142743008692945,-7.3211743064832371,1
90,609.83979248123387,-3.8072237551607855,-7.3486259298664391,1
91,621.1032648833035,-3.8059068970521945,-7.3760775532496412,1
92,616.33912099011593,-3.812542675094384,-7.4035291766328442,1
