scan_coordinate_px,carrier_amplitude,unwrapped_phase_rad,fitted_phase_rad,fit_used
0,429.85574613802112,0.74649676218887884,0.76089514114484902,0
1,445.42535962906163,0.72969830173567563,0.75904876117857367,0
2,472.00129532534737,0.75554834507129187,0.75720238121229821,0
3,508.27464441999035,0.76459590825502388,0.75535600124602287,0
4,502.67476597774208,0.74672472799979639,0.75350962127974752,0
5,476.71101119838107,0.76693762530094467,0.75166324131347217,0
6,466.84179347744663,0.75496247649331194,0.74981686134719672,0
7,461.12597276317211,0.75728968760711901,0.74797048138092137,0
8,488.29924821136683,0.75381906969981438,0.74612410141464602,0
9,509.50253489038101,0.75557925254940927,0.74427772144837068,0
10,498.40208309668105,0.76696055167933297,0.74243134148209522,0
11,457.9268669851881,0.75361998953834597,0.74058496151581987,0
12,428.07254764924824,0.74743743903574622,0.73873858154954453,0
13,423.39271021887777,0.74450205715004769,0.73689220158326907,0
14,437.96335753314378,0.75237888898313499,0.73504582161699372,0
15,471.66904009912673,0.74031333038267433,0.73319944165071838,0
16,509.51235765675955,0.76004299411912535,0.73135306168444303,0
17,498.47051832130961,0.75629243255002332,0.72950668171816757,0
18,470.64188480362174,0.75397285529989211,0.72766030175189222,0
19,463.39270966601572,0.73968937110432598,0.72581392178561688,0
20,471.43904621601098,0.72791811528581318,0.72396754181934142,0
21,478.43316745966803,0.70991765260725592,0.72212116185306607,0
22,501.26574945417434,0.74731408724379544,0.72027478188679073,0
23,501.5838210400197,0.73705319581794426,0.71842840192051538,0
24,463.25092188048006,0.71142292574444577,0.71658202195423992,0
25,432.4547366218531,0.72317033070812187,0.71473564198796458,0
26,430.23634164475033,0.71918670336508539,0.71288926202168923,0
27,436.19026533319828,0.71592498542865046,0.71104288205541377,0
28,465.77702838661361,0.71849341264539823,0.70919650208913843,0
29,493.11593795365724,0.73079859082071597,0.70735012212286308,0
30,503.24335774006965,0.69446627775008196,0.70550374215658773,0
31,476.00046487392785,0.71155010895197079,0.70365736219031227,0
